SUM of COVID death pct from all,Age Group,,,,,,,,,,,
Week ending Date,,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85 years and over,Grand Total
,0,,,,,,,,,,,0
02/01/2020,,0,0,0,0,0,0,0,0,0,0,0
02/08/2020,,0,0,0,0,0,0,0.01280901755,0,0,0,0.01280901755
02/15/2020,,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,,0,0,0,0.05910165485,0,0,0.02644802962,0.008657259112,0,0.005535566012,0.09974250959
02/29/2020,,0,0,0,0.06064281383,0.03049710278,0,0.01301744337,0.02566954736,0.01387636162,0.005552162567,0.1492554315
03/07/2020,,0,0,0.08196721311,0.05577244841,0,0,0.06419309282,0.0849617672,0.04816955684,0.06079363325,0.3958577116
03/14/2020,,0,0,0,0,0.03145643284,0,0.06606765328,0.1452370782,0.105999576,0.08411372175,0.432874462
03/21/2020,,1.219512195,0.1694915254,0.4068348251,1.06981982,1.284058879,1.030927835,0.8608321377,1.19836818,1.068419971,0.7932460763,9.101511444
03/28/2020,,0,0.9950248756,3.025601241,6.015037594,7.153242222,1.315789474,5.729102358,5.806715807,5.346802213,3.842767621,39.23008341
04/04/2020,,0,2.261712439,8.113879004,13.10583581,17.1124319,0,15.41211102,16.20041754,15.01831502,11.23779987,98.46250259
04/11/2020,,1.851851852,3.483309144,7.703180212,13.65875504,19.96242367,2,21.55326324,22.8748655,22.66111197,19.1986234,134.947384
04/18/2020,,0,2.800658979,8.539167255,14.05163853,19.52240276,0,21.21116377,23.68491322,24.43808312,23.0203551,137.2683827
04/25/2020,,0,3.309352518,5.11562719,10.16617791,17.69388803,0.9433962264,18.75805758,21.60607782,23.06161923,23.18120007,123.8353966
05/02/2020,,0,1.987767584,5.357142857,9.629981025,13.93464758,3.157894737,16.06772633,19.22116091,20.99614086,22.21761563,112.5700775
05/09/2020,,1.298701299,2.687411598,3.963838665,8.165225744,11.92397813,3,14.4983967,17.51690227,18.12726591,19.78032852,100.9620488
05/16/2020,,1.388888889,1.651651652,3.916083916,6.889859292,11.19742834,3.260869565,12.1797207,14.38515081,15.22579799,17.17263712,87.26808828
05/23/2020,,0,0.8941877794,4.016064257,5.304136253,9.07073509,0,10.40313687,12.06896552,12.78132815,13.62205579,68.1606097
05/30/2020,,1.5625,1.656626506,2.43902439,4.914841849,8.337934843,0,9.144120708,10.86177474,10.87714306,12.20333181,61.99729791
06/06/2020,,2.702702703,0.7926023778,2.585649644,5.061425061,7.900374933,0,7.385637618,9.232509572,9.17920257,9.692938172,54.53304265
06/13/2020,,0,0.8849557522,3.450655625,5.142857143,7.071269488,0.8130081301,7.345212152,7.505248425,7.828151666,7.707605158,47.74896354
06/20/2020,,1.298701299,1.404494382,2.115003305,5.18134715,6.502930505,0,6.601689409,6.613664162,6.962767517,7.287152884,43.96775061
06/27/2020,,4.166666667,1.517067004,2.127659574,4.38950555,7.339189572,0,6.810588538,6.890195734,6.850812623,6.540827908,46.63251317
07/04/2020,,0,2.31292517,4.252491694,6.819288846,8.371590602,1.550387597,7.591043307,8.127087437,7.720136025,7.402797534,54.14774821
07/11/2020,,1.298701299,2.469135802,4.906703525,8.76216968,9.344305814,2.325581395,9.703087886,10.05355404,10.29588306,8.483606557,67.64272906
07/18/2020,,0,2.834008097,6.032786885,8.497932935,11.84565569,0.9174311927,12.01015965,12.63976665,12.18547562,10.50515347,77.4683702
07/25/2020,,0,3.17679558,4.866666667,10.3163017,13.174946,2.752293578,13.2429488,14.73659042,13.89407684,11.54915197,87.70977155
08/01/2020,,0,2.891933029,3.863298663,8.97939156,12.97752809,4.255319149,13.37308348,14.70991689,14.0302335,11.79286085,86.8735652
08/08/2020,,1.538461538,1.990811639,3.767897513,8.204334365,11.83381089,1.219512195,12.03228173,13.85213364,13.44064113,11.22765895,79.10754359
08/15/2020,,1.724137931,2.431610942,3.250773994,7.569060773,10.51051051,0,11.3290049,12.06235625,12.42236025,10.27936963,71.57918518
08/22/2020,,2.777777778,2.450980392,2.908468777,5.327617881,9.278013721,1.351351351,10.08046818,10.79963235,10.26687835,8.79375,64.03493879
08/29/2020,,0,1.340996169,1.877470356,4.038997214,6.09561753,0,7.747562853,8.742579601,8.380081125,7.535951327,45.75925617
09/05/2020,,0,0.3412969283,0.7194244604,1.494023904,3.7470726,0,3.938730853,4.595588235,4.60251046,4.121779859,23.5604273
09/12/2020,,0,0.9009009009,0,0.2958579882,0.6153846154,0,1.468710089,1.786378861,1.838638858,1.393034826,8.298906139
Grand Total,0,22.82860345,49.63770877,99.40336171,183.2269375,263.8633256,29.89376243,276.6603761,308.0370402,309.6679226,290.7395952,1833.958634
