States,SUM of Population Density,SUM of Population 2019
Alabama,37.38009926,"4,903,185"
Alaska,0.4949717616,"731,545"
Arizona,24.74012175,"7,278,717"
Arkansas,22.39208732,"3,017,804"
California,97.93197692,"39,512,223"
Colorado,21.45331948,"5,758,736"
Connecticut,284.2678201,"3,565,287"
Delaware,192.9391718,"973,764"
Florida,154.6418095,"21,477,737"
Georgia,71.27748575,"10,617,423"
Hawaii,85.11403667,"1,415,872"
Idaho,8.349015394,"1,787,065"
Illinois,88.12543726,"12,671,821"
Indiana,72.55406352,"6,732,219"
Iowa,21.80888788,"3,155,070"
Kansas,13.75801166,"2,913,314"
Kentucky,43.68550587,"4,467,673"
Louisiana,41.54492484,"4,648,794"
Maine,16.82725987,"1,344,212"
Maryland,240.4613794,"6,045,680"
Massachusetts,341.1792397,"6,892,503"
Michigan,68.19993171,"9,986,857"
Minnesota,27.34605687,"5,639,632"
Mississippi,24.48880533,"2,976,149"
Missouri,34.47218603,"6,137,428"
Montana,2.835240687,"1,068,778"
Nebraska,9.721913416,"1,934,408"
Nevada,10.83295584,"3,080,156"
New Hampshire,58.64109199,"1,359,711"
New Jersey,466.3301307,"8,882,190"
New Mexico,6.674377151,"2,096,829"
New York,159.3809532,"19,453,561"
North Carolina,83.29164549,"10,488,084"
North Dakota,4.26421429,"762,062"
Ohio,110.4527114,"11,689,100"
Oklahoma,22.27271755,"3,956,971"
Oregon,16.96541141,"4,217,737"
Pennsylvania,110.4733999,"12,801,989"
Puerto Rico,360.1368967,"3,193,694"
Rhode Island,395.5791636,"1,059,361"
South Carolina,66.1303929,"5,148,714"
South Dakota,4.505520754,"884,659"
Tennessee,63.94477425,"6,829,174"
Texas,42.85610128,"28,995,881"
Utah,15.06431787,"3,205,958"
Vermont,26.14004441,"623,989"
Virginia,83.45328953,"8,535,519"
Washington,44.24202441,"7,614,893"
West Virginia,28.7853483,"1,792,147"
Wisconsin,41.50935352,"5,822,434"
Wyoming,2.301503161,"578,759"
